name|userAgent|language|platform|ipAddress|screenWidth|screenHeight|windowWidth|windowHeight
salem|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
salem|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
melsiam|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
ddss|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
fdsqfds|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
bcxcb|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
bcbv v|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
uyvub|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36|fr-FR|Linux x86_64|109.25.207.63|1920|1080|466|560
vvsf|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
RGSFG|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
vcwvvc|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
dfqdfddf|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
dfqdfddf|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
xccxc|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
fdsfdsf|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
fdcfdd|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
fxnnn|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
 <ndgdngn|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
 <ndgdngn|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|594|540
kaltie|Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36|fr-FR|Linux x86_64|127.0.0.1|1920|1080|277|540
